reservoir_size,density,input_scaling,spectral_radius,beta,training_time,rmse,nrmse
450,0.1,0.2,1.0,0.01,1.74658335,6.3218886171436575,0.5102287483688278
450,0.1,0.2,1.0,0.001,1.7980996166666665,6.322579753891696,0.5102845288261024
450,0.1,0.2,1.0,0.0001,1.7180767333333333,6.318793318352332,0.5099789321313443
450,0.1,0.3,0.9,0.01,1.73613365,6.334445405596114,0.5112421851507185
450,0.1,0.3,0.9,0.001,1.7453762166666666,6.359265069808179,0.5132453375269744
450,0.1,0.3,0.9,0.0001,1.75838735,6.371149759549049,0.5142045303787421
450,0.1,0.3,0.95,0.01,1.7629056333333333,6.336739754442678,0.5114273580968424
450,0.1,0.3,0.95,0.001,1.7447197833333334,6.361872189890179,0.5134557537011346
450,0.1,0.3,0.95,0.0001,1.7610319666666667,6.374039566837284,0.5144377617507256
450,0.1,0.3,1.0,0.01,1.7573413,6.339122506445991,0.5116196659095784
450,0.1,0.3,1.0,0.001,1.7635580666666668,6.364591847274093,0.5136752525672208
450,0.1,0.3,1.0,0.0001,1.7201451333333333,6.376795956922928,0.5146602252499402
450,0.15,0.1,0.9,0.01,1.7574489166666667,6.268870639268031,0.5059497586347839
450,0.15,0.1,0.9,0.001,1.7455005666666668,6.269237588446969,0.5059793744713832
450,0.15,0.1,0.9,0.0001,1.7621271,6.276519318113562,0.5065670703386705
450,0.15,0.1,0.95,0.01,1.6913974833333334,6.27224807723066,0.506222345839135
450,0.15,0.1,0.95,0.001,1.7623197166666666,6.2725609827072635,0.5062475999015447
450,0.15,0.1,0.95,0.0001,1.7706620333333334,6.280728637510385,0.5069067972616507
450,0.15,0.1,1.0,0.01,1.7500028833333334,6.273516726537219,0.5063247363409303
450,0.15,0.1,1.0,0.001,1.7378185166666666,6.274455826797416,0.5064005295064496
450,0.15,0.1,1.0,0.0001,1.7486721,6.2837961334385595,0.5071543695779067
450,0.15,0.2,0.9,0.01,1.76440395,6.332494906043392,0.5110847636892298
450,0.15,0.2,0.9,0.001,1.7462414833333333,6.346849286674424,0.5122432810416425
450,0.15,0.2,0.9,0.0001,1.7514197166666667,6.349074817037674,0.512422899766436
450,0.15,0.2,0.95,0.01,1.7356403833333334,6.32765877090752,0.5106944475468943
450,0.15,0.2,0.95,0.001,1.7602869833333334,6.341217094078767,0.5117887164719882
450,0.15,0.2,0.95,0.0001,1.7432764333333333,6.342247379648613,0.5118718690468912
450,0.15,0.2,1.0,0.01,1.7692655166666666,6.322587781687912,0.5102851767357167
450,0.15,0.2,1.0,0.001,1.7587131666666667,6.33507952237633,0.5112933636245391
450,0.15,0.2,1.0,0.0001,1.7604988166666666,6.334990848723469,0.5112862069266514
450,0.15,0.3,0.9,0.01,1.7667155833333332,6.356262421764563,0.5130029989718579
450,0.15,0.3,0.9,0.001,1.7493190333333333,6.3778370171801795,0.5147442474313171
450,0.15,0.3,0.9,0.0001,1.7670429833333332,6.3950428918350495,0.5161329039580926
450,0.15,0.3,0.95,0.01,1.7562846,6.357663986547545,0.5131161168529669
450,0.15,0.3,0.95,0.001,1.6869116166666667,6.379407432087231,0.5148709929152966
450,0.15,0.3,0.95,0.0001,1.7325329,6.397250685359605,0.5163110911731658
450,0.15,0.3,1.0,0.01,1.6955586166666667,6.358467875193428,0.5131809973218358
450,0.15,0.3,1.0,0.001,1.7882551666666666,6.380448436116431,0.5149550105586042
450,0.15,0.3,1.0,0.0001,1.7168897666666667,6.398970283927236,0.5164498770135995
450,0.2,0.1,0.9,0.01,1.7499912333333334,6.1899184898930315,0.4995776665597363
450,0.2,0.1,0.9,0.001,1.7371607,6.198913195412682,0.5003036137595639
450,0.2,0.1,0.9,0.0001,1.7500499666666667,6.226843574255567,0.5025578265591737
450,0.2,0.1,0.95,0.01,1.7777230833333335,6.177001355643349,0.4985351468888179
450,0.2,0.1,0.95,0.001,1.7558768,6.186762328260837,0.49932293818712986
450,0.2,0.1,0.95,0.0001,1.7674934166666667,6.212596181883631,0.5014079440449928
450,0.2,0.1,1.0,0.01,1.7457271,6.166033932366281,0.49764998503444496
450,0.2,0.1,1.0,0.001,1.74708785,6.176374238611732,0.49848453335265797
450,0.2,0.1,1.0,0.0001,1.7535598000000001,6.199708385453939,0.5003677921790264
450,0.2,0.2,0.9,0.01,1.73284605,6.302194477998675,0.5086392682981261
450,0.2,0.2,0.9,0.001,1.75404205,6.3104031643036675,0.5093017772401203
450,0.2,0.2,0.9,0.0001,1.7518788666666665,6.314127729742263,0.5096023805055431
450,0.2,0.2,0.95,0.01,1.73904605,6.301799128574899,0.5086073603266515
450,0.2,0.2,0.95,0.001,1.7461221166666665,6.309506400909862,0.5092294010102126
450,0.2,0.2,0.95,0.0001,1.7706878833333335,6.312333724230029,0.5094575894086876
450,0.2,0.2,1.0,0.01,1.7556732833333333,6.302959159182331,0.5087009844002067
450,0.2,0.2,1.0,0.001,1.7501960666666667,6.3102909282494135,0.5092927188613743
450,0.2,0.2,1.0,0.0001,1.6820496833333332,6.312130837332755,0.5094412147564396
450,0.2,0.3,0.9,0.01,1.7543294166666668,6.374562724030774,0.5144799848672973
450,0.2,0.3,0.9,0.001,1.7670148833333335,6.40227831569045,0.5167168625630651
